368017,$5000000,5,39,,99.99999999999999,''
368110,$29997,2,38,,99.99,''
368210,$94,3,28,,94,''
368218,$211500,4,20,,42.3,''
368399,$776000,5,46,,100,''
368582,$787760,6,50,,98.47,''
368653,$15,2,30,,38.5,''
368703,$273000,9,35,40,100.1,''
368768,$596418,4,26,,99.403,''
368790,$100.00999999999999,7,26,,100.01000000000002,''
368928,$698600,4,35,36,99.80000000000003,''
369099,$850000,6,38,37,100,''
369132,$100,3,,,100.00000000000001,''
369158,$999000,5,64,,99.9,''
369509,$130000,4,29,,100,''
369548,$170000,4,,,100,''
369556,$248157,7,37,35,99.78,''
369598,$400000,2,34,,100,''
369756,$7.5,3,25,,300,''
369762,$1448460,3,57,,93.97000000000003,''
369820,$100,3,46,,300,''
369921,$700000,3,36,,234,''
369987,$112320,4,30,28,99,''
370024,$105.48,4,30,,105.48,''
370038,$920000,7,40,38,400,''
370157,$901000,4,41,40,53,''
370251,$1000000,12,40,,200,''
370252,$1760000,4,44,5,100,''
370260,$1200000,6,34,35,100,''
370285,$2160400,10,64,60,98.19999999999999,''
370403,$446250,6,37,36,100,''
370543,$2629430,5,71,,90.66999999999997,''
370548,$750000,6,36,,505,''
370761,$20500,5,23,,100,''
370913,$250025,3,40,,100.01,''
371019,$36000,4,29,,100,''
371229,$1000000,6,83,82,100,''
371553,$2425000,10,65,2,96.99999999999999,''
371599,$1200000,8,52,,99.99999999999997,''
371633,$290000,3,24,,200,''
371658,$262000,5,34,35,99.99999999999999,''
371785,$100,5,,,100,''
371829,$106,2,42,40,106,''
371935,$100,4,65,,99.99999999999999,''
371988,$719200,13,38,31,99.2,''
372369,$1000000,7,34,33,100,''
372517,$300000,2,59,,25,''
372741,$209811,1,30,,99.91000000000001,''
372911,$1755000,8,57,53,146.8,''
372995,$4.28,1,36,34,4.28,''
373216,$806760,8,38,44,99.6,''
373504,$155200,5,33,,100.10000000000001,''
373561,$250000,2,65,,200,''
373639,$225080,8,31,,112.54,''
373734,$2400000,5,30,,100,''
373752,$571000,5,36,,100,''
373908,$1996000,7,62,67,99.8,''
373977,$1722600,2,55,,100.30000000000003,''
374383,$3600000,3,51,47,100,''
374479,$14,7,32,,14,''
374651,$1100000,2,61,62,200,''
374693,$300300,7,28,,155,''
374799,$210000,2,34,,99,''
374960,$830000,7,40,,100,''
374972,$228000,2,42,,100,''
375022,$2500000,4,69,,100,''
375032,$424368.932038835,8,47,,195.7,''
375104,$100,3,25,,100,''
375127,$2300000,8,52,45,100.00000000000001,''
375151,$290030,4,35,,100.01,''
375374,$4499999.999999997,8,60,49,199.50000000000009,''
375415,$337898.60000000003,8,34,32,99.97000000000003,''
375432,$2288220,6,60,64,104.019,''
375475,$187500,2,44,45,100,''
375868,$100,4,,,100,''
376074,$155.95999999999998,2,27,,155.95999999999998,''
376129,$2613600,6,42,,96.79999999999998,''
376156,$2500000,5,49,58,100,''
376222,$350035,4,41,39,100.01,''
376306,$80860,3,,,40,''
376889,$100,2,,,100,''
377394,$660800,6,40,37,97.1,''
377725,$100,3,25,,100,''
377748,$660800,7,40,37,97.1,''
377808,$1600960,5,46,45,100.05999999999999,''
377879,$100.19999999999999,3,55,57,100.2,''
377895,$405932.65306122456,10,43,45,980,''
377898,$100,3,52,,100,''
378003,$303875,5,49,48,100,''
378256,$67500,2,61,21,100,''
378328,$2046000,12,37,,102.29999999999998,''
378427,$250000,5,40,,100,''
378429,$90000,5,37,,100,''
378552,$100,3,64,5,100,''
378650,$446207.5,3,49,,104.99,''
378779,$717100,6,49,,101,''
378895,$441618.02028,6,,,105.60000000000001,''
379099,$102,4,31,,102,''
379145,$309360,6,30,,100.00999999999998,''
379310,$100.00000000000001,6,34,,399.7,''
379380,$4,3,38,,4,''
379682,$100.00999999999999,4,,,100.00999999999998,''
379854,$985.5,2,58,,73,''
379858,$142273,4,33,,100,''
380084,$130000,6,32,,100,''
380193,$130000.00000000001,7,32,,200.2,''
380280,$92500,3,26,,37,''
380452,$2775000,8,65,2020,110,''
380631,$1363440,3,49,5,187.39999999999998,''
381071,$250000,9,35,33,100.00000000000001,''
381336,$500000,5,36,,100.00000000000001,''
381755,$996000,6,62,,83,''
381957,$1650000,2,92,,100.00000000000001,''
382070,$99.99999999999999,8,35,35,99.99999999999999,''
382088,$1920000,3,67,68,100,''
382129,$1800000,6,62,60,100,''
382184,$505000,5,53,,100,''
382309,$92.09,8,34,38,92.08999999999999,''
382341,$58400,5,25,25,80,''
382391,$101,5,87,89,101,''
382461,$100.77,5,40,,100.77,''
382469,$2490000,5,47,47,166,''
382545,$700000,6,38,,100,''
382573,$156000,4,45,45,100,''
382682,$267600,3,28,,95.3,''
382732,$468176,7,49,,100.90000000000002,''
382849,$550000,6,38,35,100.00000000000001,''
383035,$82,11,48,45,82,''
383204,$224000,2,59,57,7,''
383356,$501000,3,66,,66.8,''
383361,$4051339.5052,16,49,51,100.36000000000004,''
383372,$594000,1,50,49,100,''
383375,$1010500,5,44,44,101.05000000000001,''
383386,$104620.92,6,40,,100.01999999999998,''
383493,$100,1,50,50,100,''
383553,$11,3,,,11,''
383605,$330000,2,35,,200,''
383893,$81900,3,34,36,18,''
383948,$1998000,5,56,,99.89999999999999,''
384134,$100,5,35,,400,''
384253,$500000,7,38,,100,''
384343,$3.5469000000000004,11,48,51,101.33999999999999,''
384732,$18942.36,5,31,,73.42,''
384762,$5000000,5,56,55,100,''
384786,$1783835,5,56,54,100.00000000000001,''
385189,$2406000,4,60,62,96.9,''
385281,$2700000,3,40,,100,''
385346,$1010000,7,52,53,100.99999999999997,''
385781,$273030,7,29,29,97.15,''
385828,$105.7,3,58,,105.7,''
386013,$900000,5,41,44,100,''
386563,$1900000,3,90,,100,''
386798,$100.00000000000001,3,36,35,300,''
386929,$750000,7,,,600,''
386971,$99.99999999999999,4,40,41,296.53000000000003,''
387014,$189999.99999999997,7,31,,600,''
387040,$442700,4,42,38,10,''
387062,$315000,5,76,77,100,''
387233,$100,5,30,,195,''
387261,$520696.72131147544,3,41,42,195.2,''
387501,$504000,8,45,,100,''
387604,$1300000,4,66,,100,''
387663,$100,8,,,200,''
387820,$750235.5,3,84,,99.86000000000001,''
387917,$3775000.0000000005,8,62,58,311.79999999999995,''
387922,$594186.9999999999,3,63,62,100.00000000000001,''
388307,$500000,7,38,,100,''
